,file,v,R,maxFR,timingFR,spikes,stimulus,repet,delta,m,S,pval,R2,adjR,mu,NPTS,TPTS,residuals,keeppoints,var,year
487,2024_10_31_0004,25,15,25.17801945546292,-0.013448490579678674,"[-0.15312351 -0.09752351 -0.02202351  0.00137649  0.00427649  0.14237649
  0.15757649]",LOOM,0,0.1094188376753507,1.0600207042974953e-08,5.325768097192589e-09,0.20529592877379985,0.09259059914272605,0.039213575562886405,3.6275784735521137e-09,19,20,"0.17309649035622343,0.5461146298185657,0.0884816444210392,0.2594860876988166,0.18653771523622223,0.05710839933752631,0.4896496764008497,0.7126392843483293,3.7469463520524777,0.9015005837634008,0.3145690154977385,0.5404860184380575,0.8097779656014885,0.8757006932042934,0.6136660336175848,0.253300393893629,0.6796911702277596,0.3602342011178277,0.5247309538950385",18,5.325768097192589e-09,2024
488,2024_10_31_0004,10,30,62.09404956720215,-0.040457852736083266,"[-0.42023654 -0.35913654 -0.34313654 -0.27683654 -0.25573654 -0.23903654
 -0.22793654 -0.20153654 -0.18533654 -0.11273654 -0.09773654 -0.07873654
 -0.04703654 -0.03763654 -0.03303654 -0.03133654 -0.02893654  0.00236346
  0.02086346  0.09466346  0.10276346  0.14876346  0.19556346]",LOOM,0,0.1094188376753507,1.0600207042974953e-08,5.325768097192589e-09,0.20529592877379985,0.09259059914272605,0.039213575562886405,3.6275784735521137e-09,19,20,"0.17309649035622343,0.5461146298185657,0.0884816444210392,0.2594860876988166,0.18653771523622223,0.05710839933752631,0.4896496764008497,0.7126392843483293,3.7469463520524777,0.9015005837634008,0.3145690154977385,0.5404860184380575,0.8097779656014885,0.8757006932042934,0.6136660336175848,0.253300393893629,0.6796911702277596,0.3602342011178277,0.5247309538950385",18,5.325768097192589e-09,2024
489,2024_10_31_0004,40,30,38.8333781289015,0.07153905288147322,"[-0.11863209 -0.11633209 -0.11333209 -0.08833209 -0.03433209 -0.02993209
  0.04506791  0.06166791  0.07926791  0.08976791  0.10476791  0.19436791]",LOOM,0,0.1094188376753507,1.0600207042974953e-08,5.325768097192589e-09,0.20529592877379985,0.09259059914272605,0.039213575562886405,3.6275784735521137e-09,19,20,"0.17309649035622343,0.5461146298185657,0.0884816444210392,0.2594860876988166,0.18653771523622223,0.05710839933752631,0.4896496764008497,0.7126392843483293,3.7469463520524777,0.9015005837634008,0.3145690154977385,0.5404860184380575,0.8097779656014885,0.8757006932042934,0.6136660336175848,0.253300393893629,0.6796911702277596,0.3602342011178277,0.5247309538950385",18,5.325768097192589e-09,2024
490,2024_10_31_0004,5,30,56.399713380139715,-0.04945805719698659,"[-0.80343219 -0.74553219 -0.72533219 -0.61973219 -0.61533219 -0.56643219
 -0.55863219 -0.55773219 -0.48553219 -0.47613219 -0.45803219 -0.43753219
 -0.43333219 -0.40503219 -0.39533219 -0.33483219 -0.33333219 -0.29293219
 -0.28273219 -0.22943219 -0.17673219 -0.16303219 -0.10743219 -0.06593219
 -0.06233219 -0.05803219 -0.04543219 -0.03053219 -0.01643219 -0.01433219
  0.08386781  0.17666781]",LOOM,0,0.1094188376753507,1.0600207042974953e-08,5.325768097192589e-09,0.20529592877379985,0.09259059914272605,0.039213575562886405,3.6275784735521137e-09,19,20,"0.17309649035622343,0.5461146298185657,0.0884816444210392,0.2594860876988166,0.18653771523622223,0.05710839933752631,0.4896496764008497,0.7126392843483293,3.7469463520524777,0.9015005837634008,0.3145690154977385,0.5404860184380575,0.8097779656014885,0.8757006932042934,0.6136660336175848,0.253300393893629,0.6796911702277596,0.3602342011178277,0.5247309538950385",18,5.325768097192589e-09,2024
491,2024_10_31_0004,20,30,43.49700022635535,-0.09045935423319618,"[-0.22493123 -0.20523123 -0.19443123 -0.17893123 -0.14153123 -0.10493123
 -0.08913123 -0.06013123 -0.05863123 -0.05543123  0.03386877  0.11216877]",LOOM,0,0.1094188376753507,1.0600207042974953e-08,5.325768097192589e-09,0.20529592877379985,0.09259059914272605,0.039213575562886405,3.6275784735521137e-09,19,20,"0.17309649035622343,0.5461146298185657,0.0884816444210392,0.2594860876988166,0.18653771523622223,0.05710839933752631,0.4896496764008497,0.7126392843483293,3.7469463520524777,0.9015005837634008,0.3145690154977385,0.5404860184380575,0.8097779656014885,0.8757006932042934,0.6136660336175848,0.253300393893629,0.6796911702277596,0.3602342011178277,0.5247309538950385",18,5.325768097192589e-09,2024
492,2024_10_31_0004,30,30,64.41293806103813,-0.03344621848010443,"[-0.15822298 -0.15772298 -0.12752298 -0.12432298 -0.09732298 -0.08042298
 -0.06602298 -0.04002298 -0.03502298 -0.03292298 -0.00462298  0.01007702
  0.01487702  0.05227702  0.05317702  0.06887702  0.15467702  0.15937702]",LOOM,0,0.1094188376753507,1.0600207042974953e-08,5.325768097192589e-09,0.20529592877379985,0.09259059914272605,0.039213575562886405,3.6275784735521137e-09,19,20,"0.17309649035622343,0.5461146298185657,0.0884816444210392,0.2594860876988166,0.18653771523622223,0.05710839933752631,0.4896496764008497,0.7126392843483293,3.7469463520524777,0.9015005837634008,0.3145690154977385,0.5404860184380575,0.8097779656014885,0.8757006932042934,0.6136660336175848,0.253300393893629,0.6796911702277596,0.3602342011178277,0.5247309538950385",18,5.325768097192589e-09,2024
493,2024_10_31_0004,10,7,53.34474872433142,-0.06345530861648274,"[-0.41102599 -0.36222599 -0.35072599 -0.33752599 -0.29572599 -0.28752599
 -0.25322599 -0.24952599 -0.24242599 -0.22022599 -0.16022599 -0.13062599
 -0.12452599 -0.09962599 -0.07392599 -0.05562599 -0.04172599 -0.03412599
 -0.03232599  0.02997401  0.03757401  0.07707401  0.10577401  0.10917401
  0.13787401  0.15007401  0.17067401]",LOOM,0,0.1094188376753507,1.0600207042974953e-08,5.325768097192589e-09,0.20529592877379985,0.09259059914272605,0.039213575562886405,3.6275784735521137e-09,19,20,"0.17309649035622343,0.5461146298185657,0.0884816444210392,0.2594860876988166,0.18653771523622223,0.05710839933752631,0.4896496764008497,0.7126392843483293,3.7469463520524777,0.9015005837634008,0.3145690154977385,0.5404860184380575,0.8097779656014885,0.8757006932042934,0.6136660336175848,0.253300393893629,0.6796911702277596,0.3602342011178277,0.5247309538950385",18,5.325768097192589e-09,2024
494,2024_10_31_0004,40,7,41.800921120986494,0.024542453784892282,"[-0.08283191 -0.03133191 -0.03053191 -0.02693191  0.03476809  0.04916809
  0.05176809  0.07606809  0.12116809]",LOOM,0,0.1094188376753507,1.0600207042974953e-08,5.325768097192589e-09,0.20529592877379985,0.09259059914272605,0.039213575562886405,3.6275784735521137e-09,19,20,"0.17309649035622343,0.5461146298185657,0.0884816444210392,0.2594860876988166,0.18653771523622223,0.05710839933752631,0.4896496764008497,0.7126392843483293,3.7469463520524777,0.9015005837634008,0.3145690154977385,0.5404860184380575,0.8097779656014885,0.8757006932042934,0.6136660336175848,0.253300393893629,0.6796911702277596,0.3602342011178277,0.5247309538950385",18,5.325768097192589e-09,2024
495,2024_10_31_0004,5,7,46.19198540867103,-0.6194449542470514,"[-0.80872151 -0.79992151 -0.77422151 -0.76742151 -0.71442151 -0.65372151
 -0.63672151 -0.63352151 -0.61972151 -0.60312151 -0.56032151 -0.55622151
 -0.46412151 -0.45472151 -0.42322151 -0.41532151 -0.25672151 -0.24832151
 -0.19862151 -0.18342151 -0.10532151 -0.04182151 -0.01552151  0.08427849
  0.11347849  0.14597849  0.14977849  0.15247849  0.17637849  0.19457849]",LOOM,0,0.1094188376753507,1.0600207042974953e-08,5.325768097192589e-09,0.20529592877379985,0.09259059914272605,0.039213575562886405,3.6275784735521137e-09,19,20,"0.17309649035622343,0.5461146298185657,0.0884816444210392,0.2594860876988166,0.18653771523622223,0.05710839933752631,0.4896496764008497,0.7126392843483293,3.7469463520524777,0.9015005837634008,0.3145690154977385,0.5404860184380575,0.8097779656014885,0.8757006932042934,0.6136660336175848,0.253300393893629,0.6796911702277596,0.3602342011178277,0.5247309538950385",18,5.325768097192589e-09,2024
496,2024_10_31_0004,20,7,49.30005054083996,0.0255412683650873,"[-0.20592719 -0.19982719 -0.17322719 -0.16002719 -0.14542719 -0.09942719
 -0.06202719 -0.05992719 -0.00082719  0.02637281  0.03297281  0.04217281
  0.04377281  0.04917281  0.14897281]",LOOM,0,0.1094188376753507,1.0600207042974953e-08,5.325768097192589e-09,0.20529592877379985,0.09259059914272605,0.039213575562886405,3.6275784735521137e-09,19,20,"0.17309649035622343,0.5461146298185657,0.0884816444210392,0.2594860876988166,0.18653771523622223,0.05710839933752631,0.4896496764008497,0.7126392843483293,3.7469463520524777,0.9015005837634008,0.3145690154977385,0.5404860184380575,0.8097779656014885,0.8757006932042934,0.6136660336175848,0.253300393893629,0.6796911702277596,0.3602342011178277,0.5247309538950385",18,5.325768097192589e-09,2024
497,2024_10_31_0004,30,7,53.895567607199766,-0.03044890745627238,"[-0.17332579 -0.16802579 -0.14932579 -0.13262579 -0.06292579 -0.06202579
 -0.05912579 -0.05792579 -0.01812579 -0.00082579  0.01967421  0.03047421
  0.06007421  0.07467421  0.15777421]",LOOM,0,0.1094188376753507,1.0600207042974953e-08,5.325768097192589e-09,0.20529592877379985,0.09259059914272605,0.039213575562886405,3.6275784735521137e-09,19,20,"0.17309649035622343,0.5461146298185657,0.0884816444210392,0.2594860876988166,0.18653771523622223,0.05710839933752631,0.4896496764008497,0.7126392843483293,3.7469463520524777,0.9015005837634008,0.3145690154977385,0.5404860184380575,0.8097779656014885,0.8757006932042934,0.6136660336175848,0.253300393893629,0.6796911702277596,0.3602342011178277,0.5247309538950385",18,5.325768097192589e-09,2024
